,State,County,Abbreviation
741,Oregon,Douglas,OR
742,Oregon,Grant,OR
743,Oregon,Harney,OR
744,Oregon,Jackson,OR
745,Oregon,Jefferson,OR
746,Oregon,Josephine,OR
747,Oregon,Klamath,OR
748,Oregon,Lake,OR
749,Oregon,Lane,OR
750,Oregon,Linn,OR
751,Oregon,Marion,OR
752,Oregon,Multnomah,OR
753,Oregon,Umatilla,OR
754,Oregon,Union,OR
755,Oregon,Wallowa,OR
756,Oregon,Wasco,OR
757,Oregon,Washington,OR
758,Pennsylvania,Adams,PA
759,Pennsylvania,Allegheny,PA
760,Pennsylvania,Armstrong,PA
761,Pennsylvania,Beaver,PA
762,Pennsylvania,Berks,PA
763,Pennsylvania,Blair,PA
764,Pennsylvania,Bradford,PA
765,Pennsylvania,Bucks,PA
766,Pennsylvania,Cambria,PA
767,Pennsylvania,Centre,PA
768,Pennsylvania,Chester,PA
769,Pennsylvania,Clearfield,PA
770,Pennsylvania,Cumberland,PA
771,Pennsylvania,Dauphin,PA
772,Pennsylvania,Delaware,PA
773,Pennsylvania,Elk,PA
774,Pennsylvania,Erie,PA
775,Pennsylvania,Franklin,PA
776,Pennsylvania,Greene,PA
777,Pennsylvania,Indiana,PA
778,Pennsylvania,Lackawanna,PA
779,Pennsylvania,Lancaster,PA
780,Pennsylvania,Lawrence,PA
781,Pennsylvania,Lebanon,PA
782,Pennsylvania,Lehigh,PA
783,Pennsylvania,Luzerne,PA
784,Pennsylvania,Lycoming,PA
785,Pennsylvania,Mercer,PA
786,Pennsylvania,Monroe,PA
787,Pennsylvania,Montgomery,PA
788,Pennsylvania,Northampton,PA
789,Pennsylvania,Perry,PA
790,Pennsylvania,Philadelphia,PA
791,Pennsylvania,Somerset,PA
792,Pennsylvania,Tioga,PA
793,Pennsylvania,Warren,PA
794,Pennsylvania,Washington,PA
795,Pennsylvania,Westmoreland,PA
796,Pennsylvania,York,PA
797,Puerto Rico,Adjuntas,
798,Puerto Rico,Bayamon,
799,Puerto Rico,Catano,